,Database,Gene ID,Record Name,Amino Acids,Keywords,SimChrom
Q8IZ52,BioGRID,CHSS2_HUMAN,Chondroitin sulfate synthase 2 {ECO:0000305},775,Alternative splicing; Cytoplasm; Glycoprotein; Golgi apparatus; Membrane;Metal-binding; Mitochondrion; Reference proteome; Signal-anchor;Transferase; Transmembrane; Transmembrane helix.,
P54136,BioGRID,SYRC_HUMAN,"Arginine--tRNA ligase, cytoplasmic",660,3D-structure; Acetylation; Alternative initiation;Aminoacyl-tRNA synthetase; ATP-binding; Cytoplasm;Direct protein sequencing; Disease variant; Leukodystrophy; Ligase;Nucleotide-binding; Protein biosynthesis; Reference proteome.,
Q9H1J1,Gene Ontology,REN3A_HUMAN,Regulator of nonsense transcripts 3A,476,3D-structure; Alternative splicing; Cytoplasm; mRNA transport;Nonsense-mediated mRNA decay; Nucleus; Phosphoprotein; Reference proteome;RNA-binding; Transport.,
Q7Z2T5,BioGRID,TRM1L_HUMAN,TRMT1-like protein,733,Alternative splicing; Behavior; Isopeptide bond; Metal-binding;Methyltransferase; Phosphoprotein; Reference proteome; RNA-binding;S-adenosyl-L-methionine; Transferase; tRNA processing; tRNA-binding;Ubl conjugation; Zinc; Zinc-finger.,RNA modification
Q12873,BioGRID,CHD3_HUMAN,Chromodomain-helicase-DNA-binding protein 3,2000,Alternative splicing; ATP-binding; Chromatin regulator; Cytoplasm;Cytoskeleton; Disease variant; DNA-binding; Helicase;Host-virus interaction; Hydrolase; Intellectual disability;Isopeptide bond; Metal-binding; Nucleotide-binding; Nucleus;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,Chromatin remodelers;DNA-modifying enzymes
Q9C000,Gene Ontology,NLRP1_HUMAN,"NACHT, LRR and PYD domains-containing protein 1, N-terminus {ECO:0000305}",1473,3D-structure; Alternative splicing; ATP-binding; Cytoplasm;Direct protein sequencing; Disease variant; Ectodermal dysplasia;Host-virus interaction; Hydrolase; Immunity; Inflammasome;Inflammatory response; Innate immunity; Leucine-rich repeat; Necrosis;Nucleotide-binding; Nucleus; Phosphoprotein; Protease; Reference proteome;Repeat; Ubl conjugation.,
P84090,Gene Ontology,ERH_HUMAN,Enhancer of rudimentary homolog,104,3D-structure; Acetylation; Cell cycle; Direct protein sequencing;Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome;Ubl conjugation.,Methylated DNA binding
P12107,BioGRID,COBA1_HUMAN,Collagen alpha-1(XI) chain,1806,Alternative splicing; Calcium; Cataract; Collagen; Deafness;Direct protein sequencing; Disease variant; Disulfide bond; Dwarfism;Ectodermal dysplasia; Extracellular matrix; Glycoprotein; Hydroxylation;Metal-binding; Non-syndromic deafness; Reference proteome; Repeat;Secreted; Signal; Stickler syndrome.,
P55083,BioGRID,MFAP4_HUMAN,Microfibril-associated glycoprotein 4,255,3D-structure; Alternative splicing; Calcium; Cell adhesion;Direct protein sequencing; Extracellular matrix; Glycoprotein;Reference proteome; Secreted; Signal.,
P63220,BioGRID,RS21_HUMAN,Small ribosomal subunit protein eS21 {ECO:0000303|PubMed:24524803},83,3D-structure; Acetylation; Cytoplasm; Direct protein sequencing;Endoplasmic reticulum; Isopeptide bond; Reference proteome;Ribonucleoprotein; Ribosomal protein; Ubl conjugation.,
O94761,Gene Ontology,RECQ4_HUMAN,ATP-dependent DNA helicase Q4,1208,3D-structure; ATP-binding; Cataract; Craniosynostosis; Cytoplasm;Disease variant; DNA-binding; Dwarfism; Helicase; Hydrolase; Isomerase;Metal-binding; Nucleotide-binding; Nucleus; Phosphoprotein;Reference proteome; Zinc.,DNA replication;DNA repair;Telomere-associated;DNA-modifying enzymes
Q9H799,BioGRID,CPLN1_HUMAN,Ciliogenesis and planar polarity effector 1 {ECO:0000305},3197,Alternative splicing; Cell projection; Ciliopathy;Cilium biogenesis/degradation; Coiled coil; Disease variant;Joubert syndrome; Membrane; Phosphoprotein; Reference proteome;Transmembrane; Transmembrane helix.,
Q08211,Gene Ontology,DHX9_HUMAN,ATP-dependent RNA helicase A {ECO:0000305},1270,3D-structure; Acetylation; Activator; Alternative splicing; ATP-binding;Biological rhythms; Cytoplasm; Cytoskeleton; Direct protein sequencing;DNA replication; DNA-binding; Helicase; Host-virus interaction; Hydrolase;Immunity; Inflammatory response; Innate immunity; Isopeptide bond;Manganese; Metal-binding; Methylation; mRNA processing; mRNA splicing;mRNA transport; Nucleotide-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; RNA-binding; RNA-mediated gene silencing;Transcription; Transcription regulation; Transcription termination;Translation regulation; Transport; Ubl conjugation.,DNA replication;RNA processing;DNA-modifying enzymes;DNA-templated transcription
P0DPK2,Gene Ontology,H3Y1_HUMAN,Histone H3.Y {ECO:0000303|PubMed:20819935},136,3D-structure; Acetylation; Chromosome; Citrullination; Hydroxylation;Methylation; Nucleus; Phosphoprotein; Reference proteome.,Histones
Q9H1D9,Gene Ontology,RPC6_HUMAN,DNA-directed RNA polymerase III subunit RPC6,316,3D-structure; Acetylation; Antiviral defense; DNA-binding;DNA-directed RNA polymerase; Immunity; Innate immunity; Isopeptide bond;Nucleus; Reference proteome; Transcription; Ubl conjugation.,RNA polymerases;DNA-templated transcription
Q9NPC7,Gene Ontology,MYNN_HUMAN,Myoneurin,610,3D-structure; Alternative splicing; DNA-binding; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Zinc; Zinc-finger.,DNA-binding transcription factors
O95644,Gene Ontology,NFAC1_HUMAN,"Nuclear factor of activated T-cells, cytoplasmic 1",943,3D-structure; Activator; Alternative initiation; Alternative splicing;Cytoplasm; DNA-binding; Nucleus; Phosphoprotein; Reference proteome;Repeat; Repressor; Transcription; Transcription regulation.,DNA-binding transcription factors
P42285,BioGRID,MTREX_HUMAN,Exosome RNA helicase MTR4 {ECO:0000305},1042,3D-structure; Acetylation; ATP-binding; Direct protein sequencing;DNA damage; Helicase; Hydrolase; Isopeptide bond; mRNA processing;mRNA splicing; Nucleotide-binding; Nucleus; Phosphoprotein;Reference proteome; rRNA processing; Spliceosome; Ubl conjugation.,RNA processing
P43351,Gene Ontology,RAD52_HUMAN,DNA repair protein RAD52 homolog,418,3D-structure; Alternative splicing; DNA damage; DNA recombination;DNA repair; DNA-binding; Nucleus; Phosphoprotein; Reference proteome.,DNA repair;DNA recombination
O14618,BioGRID,CCS_HUMAN,Copper chaperone for superoxide dismutase {ECO:0000305},274,3D-structure; Chaperone; Copper; Cytoplasm; Disulfide bond;Isopeptide bond; Metal-binding; Phosphoprotein; Reference proteome;Ubl conjugation; Zinc.,
Q86YC2,Gene Ontology,PALB2_HUMAN,Partner and localizer of BRCA2,1186,3D-structure; Coiled coil; Disease variant; DNA damage; DNA recombination;DNA repair; DNA-binding; Fanconi anemia; Nucleus; Phosphoprotein;Reference proteome; Repeat; Tumor suppressor; WD repeat.,DNA repair
P84022,Gene Ontology,SMAD3_HUMAN,Mothers against decapentaplegic homolog 3,425,3D-structure; Acetylation; ADP-ribosylation; Alternative splicing;Aortic aneurysm; Cytoplasm; Disease variant; DNA-binding;Host-virus interaction; Isopeptide bond; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Ubl conjugation; Zinc.,Regulation of transcription;DNA-binding transcription factors
Q9UPW6,Gene Ontology,SATB2_HUMAN,DNA-binding protein SATB2,733,3D-structure; Alternative splicing; Chromatin regulator;Chromosomal rearrangement; Developmental protein; Disease variant;DNA-binding; Homeobox; Intellectual disability; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Repeat; Repressor; Transcription;Transcription regulation; Ubl conjugation.,DNA-binding transcription factors
O95718,Gene Ontology,ERR2_HUMAN,Steroid hormone receptor ERR2 {ECO:0000305},433,3D-structure; Acetylation; Alternative splicing; Chromosome; Cytoplasm;Deafness; Disease variant; DNA-binding; Metal-binding;Non-syndromic deafness; Nucleus; Receptor; Reference proteome;Transcription; Transcription regulation; Zinc; Zinc-finger.,Nuclear hormone receptors;DNA-binding transcription factors;Pioneer TFs
P17302,BioGRID,CXA1_HUMAN,Gap junction alpha-1 protein,382,3D-structure; Acetylation; Cataract; Cell junction; Cell membrane;Disease variant; Disulfide bond; Endoplasmic reticulum; Gap junction;Hypotrichosis; Isopeptide bond; Membrane; Palmoplantar keratoderma;Phosphoprotein; Reference proteome; S-nitrosylation; Transmembrane;Transmembrane helix; Ubl conjugation.,
P31483,BioGRID,TIA1_HUMAN,Cytotoxic granule associated RNA binding protein TIA1 {ECO:0000312|HGNC:HGNC:11802},386,3D-structure; Acetylation; Alternative splicing;Amyotrophic lateral sclerosis; Apoptosis; Cytoplasm; Disease variant;mRNA processing; mRNA splicing; Neurodegeneration; Nucleus;Reference proteome; Repeat; RNA-binding.,
P35659,Gene Ontology,DEK_HUMAN,Protein DEK,375,3D-structure; Acetylation; ADP-ribosylation; Alternative splicing;Chromatin regulator; Chromosomal rearrangement; Direct protein sequencing;DNA-binding; Nucleus; Phosphoprotein; Proto-oncogene; Reference proteome.,Chromatin remodelers;DNA-templated transcription
P03372,Gene Ontology,ESR1_HUMAN,Estrogen receptor,595,3D-structure; Activator; Alternative promoter usage; Alternative splicing;Cell membrane; Cytoplasm; Direct protein sequencing; Disease variant;DNA-binding; Glycoprotein; Golgi apparatus; Lipid-binding; Lipoprotein;Membrane; Metal-binding; Methylation; Nucleus; Palmitate; Phosphoprotein;Receptor; Reference proteome; Steroid-binding; Transcription;Transcription regulation; Transmembrane; Ubl conjugation; Zinc;Zinc-finger.,Nuclear hormone receptors;Euchromatin-associated;DNA-binding transcription factors;DNA-templated transcription
Q96NC0,Gene Ontology,ZMAT2_HUMAN,Zinc finger matrin-type protein 2,199,3D-structure; Acetylation; DNA-binding; Isopeptide bond; Metal-binding;mRNA processing; mRNA splicing; Nucleus; Reference proteome; Spliceosome;Ubl conjugation; Zinc; Zinc-finger.,
P62316,BioGRID,SMD2_HUMAN,Small nuclear ribonucleoprotein Sm D2,118,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; Isopeptide bond; mRNA processing; mRNA splicing;Nucleus; Phosphoprotein; Reference proteome; Ribonucleoprotein;Spliceosome; Ubl conjugation.,RNA processing;RNA modification
Q6ZN18,Gene Ontology,AEBP2_HUMAN,Zinc finger protein AEBP2,517,3D-structure; Acetylation; Alternative splicing; Chromatin regulator;DNA-binding; Metal-binding; Nucleus; Phosphoprotein; Reference proteome;Repeat; Repressor; Transcription; Transcription regulation; Zinc;Zinc-finger.,
P55317,Gene Ontology,FOXA1_HUMAN,Hepatocyte nuclear factor 3-alpha,472,3D-structure; Activator; Alternative splicing; Chromatin regulator;Developmental protein; DNA-binding; Nucleus; Phosphoprotein;Reference proteome; Repressor; Transcription; Transcription regulation.,DNA-binding transcription factors;Pioneer TFs
P29590,Gene Ontology,PML_HUMAN,Protein PML,882,3D-structure; Acetylation; Activator; Alternative splicing;Antiviral defense; Apoptosis; Biological rhythms;Chromosomal rearrangement; Coiled coil; Cytoplasm; DNA-binding;Endoplasmic reticulum; Endosome; Host-virus interaction; Immunity;Innate immunity; Isopeptide bond; Membrane; Metal-binding; Nucleus;Phosphoprotein; Proto-oncogene; Reference proteome; Repeat; Transcription;Transcription regulation; Transferase; Tumor suppressor; Ubl conjugation;Zinc; Zinc-finger.,Telomere-associated
Q14469,Gene Ontology,HES1_HUMAN,Transcription factor HES-1,280,3D-structure; DNA-binding; Nucleus; Reference proteome; Repressor;Transcription; Transcription regulation; Ubl conjugation.,DNA-binding transcription factors
P37802,BioGRID,TAGL2_HUMAN,Transgelin-2,199,3D-structure; Acetylation; Alternative splicing; Direct protein sequencing;Isopeptide bond; Methylation; Phosphoprotein; Reference proteome;Ubl conjugation.,
P28290,BioGRID,ITPI2_HUMAN,Protein ITPRID2 {ECO:0000305},1259,Actin-binding; Alternative splicing; Coiled coil; Cytoplasm;Isopeptide bond; Phosphoprotein; Reference proteome; Ubl conjugation.,
Q15532,BioGRID,SSXT_HUMAN,Protein SSXT,418,3D-structure; Acetylation; Activator; Alternative splicing;Chromosomal rearrangement; Nucleus; Proto-oncogene; Reference proteome;Repeat; Transcription; Transcription regulation.,Chromatin remodelers
Q6P0Q8,BioGRID,MAST2_HUMAN,Microtubule-associated serine/threonine-protein kinase 2,1798,3D-structure; Alternative splicing; ATP-binding; Cell membrane; Cytoplasm;Cytoskeleton; Kinase; Magnesium; Membrane; Metal-binding; Methylation;Nucleotide-binding; Phosphoprotein; Reference proteome;Serine/threonine-protein kinase; Transferase; Ubl conjugation.,
Q7L5Y9,BioGRID,MAEA_HUMAN,E3 ubiquitin-protein transferase MAEA,396,Actin-binding; Alternative splicing; Cell cycle; Cell division;Cell membrane; Cytoplasm; Cytoskeleton; Erythrocyte maturation; Membrane;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Transferase;Ubl conjugation; Ubl conjugation pathway; Zinc; Zinc-finger.,
Q9Y3F4,BioGRID,STRAP_HUMAN,Serine-threonine kinase receptor-associated protein,350,Alternative splicing; Cytoplasm; Direct protein sequencing;mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Reference proteome; Repeat; WD repeat.,RNA processing
P61586,BioGRID,RHOA_HUMAN,Transforming protein RhoA {ECO:0000305},193,3D-structure; ADP-ribosylation; Cell cycle; Cell division; Cell membrane;Cell projection; Cytoplasm; Cytoskeleton; Direct protein sequencing;Disease variant; Ectodermal dysplasia; Glycoprotein; GTP-binding;Host-virus interaction; Hydrolase; Isopeptide bond; Lipoprotein; Magnesium;Membrane; Methylation; Nucleotide-binding; Nucleus; Phosphoprotein;Prenylation; Proto-oncogene; Reference proteome; Ubl conjugation.,
O95365,Gene Ontology,ZBT7A_HUMAN,Zinc finger and BTB domain-containing protein 7A {ECO:0000305},584,3D-structure; Developmental protein; Differentiation; Disease variant;DNA-binding; Intellectual disability; Isopeptide bond; Metal-binding;Nucleus; Phosphoprotein; Reference proteome; Repeat; Repressor;Transcription; Transcription regulation; Ubl conjugation; Zinc;Zinc-finger.,DNA repair;DNA-binding transcription factors
P47756,BioGRID,CAPZB_HUMAN,F-actin-capping protein subunit beta,272,3D-structure; Acetylation; Actin capping; Actin-binding;Alternative splicing; Cytoplasm; Cytoskeleton; Direct protein sequencing;Phosphoprotein; Reference proteome.,
Q15560,Gene Ontology,TCEA2_HUMAN,Transcription elongation factor A protein 2,299,3D-structure; Alternative splicing; DNA-binding; Isopeptide bond;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,DNA-templated transcription
Q01085,Gene Ontology,TIAR_HUMAN,Nucleolysin TIAR,375,3D-structure; Acetylation; Alternative splicing; Apoptosis; Cytoplasm;Lysosome; Nucleus; Phosphoprotein; Reference proteome; Repeat; RNA-binding.,
Q92925,BioGRID,SMRD2_HUMAN,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2,531,Alternative splicing; Chromatin regulator; Isopeptide bond; Methylation;Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Ubl conjugation.,Chromatin remodelers;Centromere-associated
Q16236,Gene Ontology,NF2L2_HUMAN,Nuclear factor erythroid 2-related factor 2 {ECO:0000303|PubMed:11035812},605,3D-structure; Acetylation; Activator; Alternative splicing; Cytoplasm;Disease variant; DNA-binding; Glycation; Glycoprotein;Host-virus interaction; Nucleus; Phosphoprotein; Reference proteome;Transcription; Transcription regulation; Ubl conjugation.,Regulation of transcription;DNA-binding transcription factors
P18428,BioGRID,LBP_HUMAN,Lipopolysaccharide-binding protein,481,Antibiotic; Antimicrobial; Direct protein sequencing; Disulfide bond;Glycoprotein; Immunity; Innate immunity; Lipid transport; Membrane;Reference proteome; Secreted; Signal; Transport.,
P31689,BioGRID,DNJA1_HUMAN,DnaJ homolog subfamily A member 1,397,3D-structure; Acetylation; Alternative splicing; Chaperone; Cytoplasm;Endoplasmic reticulum; Lipoprotein; Membrane; Metal-binding; Methylation;Microsome; Mitochondrion; Nucleus; Phosphoprotein; Prenylation;Reference proteome; Repeat; Zinc; Zinc-finger.,
Q9Y4W2,BioGRID,LAS1L_HUMAN,Ribosomal biogenesis protein LAS1L,734,3D-structure; Alternative splicing; Cytoplasm; Disease variant; Hydrolase;Intellectual disability; Isopeptide bond; Nucleus; Obesity; Phosphoprotein;Reference proteome; rRNA processing; Ubl conjugation.,Preribosome-associated
Q96EY7,BioGRID,PTCD3_HUMAN,Small ribosomal subunit protein mS39 {ECO:0000303|PubMed:25838379},689,3D-structure; Acetylation; Alternative splicing; Mitochondrion;Primary mitochondrial disease; Reference proteome; Repeat;Ribonucleoprotein; Ribosomal protein; RNA-binding; rRNA-binding;Transit peptide; Translation regulation.,
Q9H3D4,Gene Ontology,P63_HUMAN,Tumor protein 63,680,3D-structure; Activator; Alternative promoter usage; Alternative splicing;Apoptosis; Developmental protein; Disease variant; DNA-binding;Ectodermal dysplasia; Isopeptide bond; Metal-binding;Notch signaling pathway; Nucleus; Premature ovarian failure;Reference proteome; Transcription; Transcription regulation;Ubl conjugation; Zinc.,DNA-binding transcription factors;DNA-templated transcription
Q9BTP7,Gene Ontology,FAP24_HUMAN,"Fanconi anemia core complex-associated protein 24 {ECO:0000303|PubMed:17289582, ECO:0000312|HGNC:HGNC:28467}",215,3D-structure; DNA damage; DNA repair; DNA-binding; Nucleus;Reference proteome.,DNA repair
Q13363,BioGRID,CTBP1_HUMAN,C-terminal-binding protein 1,440,3D-structure; ADP-ribosylation; Alternative splicing; Cytoplasm;Differentiation; Direct protein sequencing; Disease variant;Host-virus interaction; Intellectual disability; Isopeptide bond; NAD;Nucleus; Oxidoreductase; Phosphoprotein; Reference proteome; Repressor;Transcription; Transcription regulation; Ubl conjugation.,
